FASITEC DESENVOLVIMENTO E TECNOLOGIA LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;Página:;;1/235;;
CNPJ:;;00483195000178;;;;;;;;;;;;;;;;;;;;;;;;Emissão:;;27/06/2025;;
Período:;;01/01/2024;;;;;;a;;31/12/2024;;;;;;;;;;;;;;;;Hora:;;14:23:05;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETENÇÕES A COMPENSAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Código;;;;;Imposto;;;;;;Nota;;Tipo;;Data;;Valor Contábil;;Retenção;;;;;;;;Cód. Rec.
Cliente:;;;;;2;;;;;;CAIXA ECONOMICA FEDERAL;;;;;;;;;;;CNPJ:;;;00360305005920;;;;;
;;;16;;;;;IRRF;;;;;;202400000000079;;Serviço;;01/01/2024;;1.308,00;;62,78;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000080;;Serviço;;01/01/2024;;1.953,64;;93,77;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000081;;Serviço;;01/01/2024;;1.611,09;;77,33;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000082;;Serviço;;01/01/2024;;269,24;;12,92;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000083;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000084;;Serviço;;01/01/2024;;996,00;;47,81;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000085;;Serviço;;01/01/2024;;308,00;;14,78;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000086;;Serviço;;01/01/2024;;100,00;;4,80;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000087;;Serviço;;01/01/2024;;592,91;;28,46;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000088;;Serviço;;01/01/2024;;466,52;;22,39;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000089;;Serviço;;01/01/2024;;831,11;;39,89;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000090;;Serviço;;01/01/2024;;40,00;;1,92;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000091;;Serviço;;01/01/2024;;263,75;;12,66;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000092;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000093;;Serviço;;01/01/2024;;67,52;;3,24;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000094;;Serviço;;01/01/2024;;79,56;;3,82;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000095;;Serviço;;01/01/2024;;350,00;;16,80;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000096;;Serviço;;01/01/2024;;500,76;;24,04;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000097;;Serviço;;01/01/2024;;498,20;;23,91;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000098;;Serviço;;01/01/2024;;4.186,08;;200,93;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000099;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000100;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000101;;Serviço;;01/01/2024;;342,00;;16,42;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000102;;Serviço;;01/01/2024;;816,00;;39,17;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000103;;Serviço;;01/01/2024;;2.056,00;;98,69;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000104;;Serviço;;01/01/2024;;1.462,05;;70,18;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000105;;Serviço;;01/01/2024;;1.482,00;;71,14;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000106;;Serviço;;01/01/2024;;599,75;;28,79;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000107;;Serviço;;01/01/2024;;382,00;;18,34;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000108;;Serviço;;01/01/2024;;212,10;;10,18;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000109;;Serviço;;01/01/2024;;193,13;;9,27;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000110;;Serviço;;01/01/2024;;581,40;;27,91;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000111;;Serviço;;01/01/2024;;2.278,51;;109,37;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000112;;Serviço;;01/01/2024;;15.397,07;;739,06;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000113;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000114;;Serviço;;01/01/2024;;14,25;;0,68;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000115;;Serviço;;01/01/2024;;1.289,96;;61,92;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000116;;Serviço;;01/01/2024;;6.667,70;;320,05;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000117;;Serviço;;01/01/2024;;1.376,55;;66,07;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000118;;Serviço;;01/01/2024;;9.372,50;;449,88;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000119;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000120;;Serviço;;01/01/2024;;730,32;;35,06;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000121;;Serviço;;01/01/2024;;2.254,35;;108,21;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000122;;Serviço;;01/01/2024;;2.296,00;;110,21;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000123;;Serviço;;01/01/2024;;3.945,06;;189,36;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000124;;Serviço;;01/01/2024;;644,80;;30,95;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000125;;Serviço;;01/01/2024;;595,35;;28,58;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000126;;Serviço;;01/01/2024;;169,60;;8,14;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000127;;Serviço;;01/01/2024;;200,00;;9,60;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000128;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000129;;Serviço;;01/01/2024;;843,60;;40,49;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000130;;Serviço;;01/01/2024;;350,00;;16,80;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000131;;Serviço;;01/01/2024;;321,20;;15,42;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000132;;Serviço;;01/01/2024;;2.530,80;;121,48;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000133;;Serviço;;01/01/2024;;31,35;;1,50;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000134;;Serviço;;01/01/2024;;171,00;;8,21;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000135;;Serviço;;01/01/2024;;200,00;;9,60;;;;;;;;170806
